MPN,References,Quantity,MSL as recorded,Manufacturer peak C as recorded,Handling,Primary source
0430451200,F1,1,,260,"Applicable43045 header family application specificationA1:wave/reflow260Cmax,original packaging until use,avoid corrosive chemicals. Selected F1 route remains local/selective after global. The source does not give a local wave dwell; do not borrow Würth5s. Twelve-circuit harness requires recommended25.4mm relaxed wire before bend/tie/twist,matched plating and no current sharing across pins; compare actual harness separately. NumericMSL not published.",https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/applicationspecificationspdf/430/43045/430450001-AS-000.pdf
0885001.DR,F101,1,,,"FACTORY_LOCAL_AFTER_REFLOW; excluded fromglobalpaste/autoCPL; controlled localmanufacturer profile, body cooling and continuity afterward.",baseline/GR86_CCA_RevB/evidence/manufacturer/littelfuse_885.pdf
61300211121,J202 J203,2,,260,"Exact manufacturer through-hole header drawing permits lead-free wave250…260C,≤5s each wave. Routed local/selective after global; no whole-body reflow or numericMSL inferred. Preserve manufacturer storage/usewithin12months and inspect solderability of older stock.",baseline/GR86_CCA_RevB/evidence/manufacturer/wurth_61300211121.pdf
AA0603FR-07220RL,R402 R403 R404 R515 R525,5,1,,Manufacturer-authored automotive catalog AA resistor section specifies MSL1 and J-STD020D solder reference. Archived manufacturer document is mirrored by Mouser; it does not establish the incoming lot or numeric peak for this assembly.,https://www.mouser.com/pdfDocs/Yageo_Automotive.pdf
APT1608SGC,D401 D601 D602 D603 D604 D605 D606,7,3,260,LED floor-life/optical lens and cleaning restrictions remain controlled by incoming label and exact profile.,baseline/GR86_CCA_RevB/evidence/manufacturer/kingbright_apt1608sgc.pdf
BZT52H-B15-QX,D104,1,1,260,"Exact12NC934664276115/orderable row gives MSL1. Lead-free table: peak260C,maximum40s within5C ofpeak,three processingcycles. Manufacturer report2026-05-22; web read2026-09-09; no lot acceptance inferred.",https://www.nexperia.com/chemical-content/BZT52H-B15-Q.html
C1210C106K5RACTU,C504 C505 C506,3,1,,"Manufacturer says all KEMET MLCCs MSL1 and baking unnecessary. This does not set this exact MPN reflow peak. FAQ ultrasonic limits20W/L,20–40kHz,≤60C,≤5min apply only to capacitor-level guidance; assembled GNSS/LED/connectors may prohibit that process.",https://www.kemet.com/en/us/capacitors/ceramic/ceramics-faq.html
CGA3E2C0G1H101J080AA,C126 C514 C524,3,,260,"Exact TDK product page links general June2026 delivery specification. NumericMSL is not published in either reviewed page/specification and is not borrowed from CeraLink or another vendor. Store5…40C/20…70%RH,original packaging,usewithin6months or verify solderability;avoid condensation. Lead-free reflow≤260C/≤10s;preheat delta≤150C for0603/0805,≤130C for1210. Follow exact cleaning/thermal-shock rules; soft termination contains resin and must not be called resinless.",https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/specification/mlccspec_automotive_general_en.pdf
CGA3E2C0G1H222J080AA,C124,1,,260,"Exact TDK product page links general June2026 delivery specification. NumericMSL is not published in either reviewed page/specification and is not borrowed from CeraLink or another vendor. Store5…40C/20…70%RH,original packaging,usewithin6months or verify solderability;avoid condensation. Lead-free reflow≤260C/≤10s;preheat delta≤150C for0603/0805,≤130C for1210. Follow exact cleaning/thermal-shock rules; soft termination contains resin and must not be called resinless.",https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/specification/mlccspec_automotive_general_en.pdf
CGA3E2C0G2A332J080AA,C125,1,,260,"Exact TDK product page links general June2026 delivery specification. NumericMSL is not published in either reviewed page/specification and is not borrowed from CeraLink or another vendor. Store5…40C/20…70%RH,original packaging,usewithin6months or verify solderability;avoid condensation. Lead-free reflow≤260C/≤10s;preheat delta≤150C for0603/0805,≤130C for1210. Follow exact cleaning/thermal-shock rules; soft termination contains resin and must not be called resinless.",https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/specification/mlccspec_automotive_general_en.pdf
